1,2,9
1,5,4
1,9,1
2,2,8
2,5,4
2,9,1
3,2,11
3,5,4
4,2,10
4,5,4
5,5,4
5,2,8
6,2,11
6,5,5
6,9,1
7,5,5
7,2,13
8,5,3
8,2,11
9,2,12
9,5,3
10,2,10
10,5,4
11,2,13
11,5,6
12,2,11
12,5,4
13,2,12
13,5,2
14,2,13
14,5,2
15,5,4
15,2,12
15,9,1
15,0,1
16,2,12
16,5,4
16,9,1
17,2,11
17,5,4
17,9,1
17,0,1
18,5,3
18,2,10
18,9,1
19,2,11
19,5,3
19,0,1
20,5,3
20,2,11
20,9,1
21,5,3
21,2,10
22,5,3
22,2,8
22,9,1
23,5,3
23,2,11
23,9,1
24,5,3
24,2,8
24,9,1
25,5,2
25,2,10
26,5,4
26,2,8
27,5,3
27,2,9
28,5,2
28,2,10
29,5,2
29,2,8
29,9,1
30,2,10
30,5,1
30,9,1
30,7,1
31,5,2
31,2,10
31,9,1
32,5,1
32,2,8
32,7,1
32,9,1
33,5,1
33,2,5
33,9,1
34,5,1
34,2,6
34,9,1
35,5,1
35,2,4
35,7,1
36,2,6
36,5,1
36,7,1
37,2,8
37,7,1
38,2,6
38,7,1
39,2,8
39,9,1
40,9,1
40,2,3
40,7,1
41,2,7
42,2,7
43,2,5
43,7,1
44,2,7
44,7,1
45,2,11
45,7,1
46,2,12
46,5,1
46,7,1
47,7,1
47,2,7
48,2,7
48,7,1
49,2,2
49,5,1
50,2,3
51,2,2
52,7,1
52,2,7
53,2,8
54,2,8
54,7,2
54,0,1
55,2,11
55,7,2
55,0,1
56,2,6
56,7,2
57,2,12
57,7,2
58,2,5
58,7,2
58,3,1
59,2,6
59,7,2
60,2,7
60,7,2
61,2,8
61,7,1
61,0,1
61,9,1
62,2,7
62,7,2
63,2,5
63,7,4
63,0,1
64,2,5
64,7,2
64,0,1
65,2,8
65,5,2
65,7,1
66,2,6
66,7,1
66,5,1
67,2,7
67,7,2
68,2,8
68,7,2
69,2,10
70,2,9
70,0,1
71,2,9
71,0,1
71,5,1
72,2,9
72,5,1
72,9,1
72,0,1
73,2,10
73,5,1
73,0,1
74,2,10
74,5,1
74,9,1
74,0,1
75,5,1
75,2,11
75,9,1
76,5,1
76,2,8
76,9,1
76,7,1
77,2,8
77,5,1
78,2,9
78,5,1
78,9,1
79,2,10
79,5,1
79,9,1
80,2,9
80,7,1
80,9,1
81,2,9
81,5,3
81,9,1
82,2,10
82,5,2
82,9,1
83,2,11
83,5,3
83,9,1
84,2,9
84,5,2
84,9,1
85,2,10
85,5,2
85,7,1
86,5,2
86,2,11
87,5,2
87,2,14
88,5,2
88,2,10
88,9,1
89,5,2
89,2,13
90,5,2
90,2,13
90,7,1
91,5,1
91,2,8
92,2,13
92,5,1
93,2,10
93,7,1
94,2,12
94,7,1
94,5,1
95,2,8
95,7,1
95,5,1
96,2,12
96,7,1
97,2,10
97,7,1
98,2,11
98,7,1
98,9,1
99,2,12
100,2,8
100,7,1
101,2,6
101,9,1
101,5,1
102,2,10
102,9,1
103,2,13
103,7,1
103,9,1
104,5,1
104,2,5
104,7,1
104,9,2
105,2,7
105,5,1
105,7,1
105,9,1
106,2,7
106,7,1
106,9,1
106,5,1
107,2,7
107,5,1
107,7,1
107,9,1
107,0,1
108,2,13
108,5,1
108,9,1
108,0,1
109,2,11
109,5,1
109,0,1
109,9,1
110,2,8
110,5,1
110,9,1
110,0,1
111,2,9
111,5,1
111,9,1
112,2,6
112,9,1
112,5,1
113,2,4
113,9,1
113,7,1
113,5,1
114,2,3
114,9,1
114,5,1
115,2,5
115,9,2
115,5,1
116,2,9
116,5,1
116,9,1
117,2,9
117,9,1
117,5,1
118,2,6
118,5,1
118,9,1
119,2,5
119,5,1
119,9,1
120,2,10
120,9,1
120,5,2
121,2,9
121,5,2
121,9,2
122,2,11
122,5,2
122,9,1
123,2,9
123,5,1
123,9,1
124,2,8
124,5,1
124,9,1
125,2,9
125,5,1
126,5,1
126,2,8
127,5,1
127,2,12
128,5,1
128,2,10
129,5,1
129,2,8
130,5,2
130,2,7
131,5,2
131,2,4
132,2,6
132,5,2
132,7,1
133,2,9
133,5,1
133,7,2
134,2,6
134,5,3
134,7,1
135,5,2
135,2,7
135,7,1
136,2,8
136,5,2
136,7,1
137,2,7
137,5,2
138,2,4
138,5,1
138,7,1
138,0,1
139,2,4
139,5,1
139,7,2
139,0,1
140,2,6
140,5,3
141,2,8
141,5,2
141,7,1
142,2,7
142,5,1
142,7,1
143,2,7
143,5,1
144,2,5
145,2,9
145,5,1
146,2,9
146,5,2
147,2,12
147,5,1
148,2,11
148,5,1
149,2,10
149,5,1
149,9,1
150,2,12
150,5,1
151,2,13
151,5,1
152,2,10
152,5,1
153,2,12
153,5,1
154,2,14
154,5,1
155,2,12
155,5,1
156,2,13
156,5,1
156,9,1
157,2,10
157,5,1
158,2,7
158,5,1
159,2,11
159,5,1
159,3,1
159,0,1
160,2,8
160,5,1
161,2,9
161,5,1
161,9,1
162,2,11
162,5,1
163,5,1
163,2,7
163,9,1
164,2,6
164,5,1
165,2,8
165,5,1
166,2,9
166,5,1
167,2,7
167,5,1
168,2,7
168,5,1
169,2,8
169,5,1
170,2,10
170,5,1
171,2,9
172,2,12
172,5,1
173,2,7
173,5,2
173,9,1
174,2,8
174,5,2
175,2,7
175,5,3
176,2,5
176,5,2
177,2,8
177,5,3
177,9,1
178,5,2
178,2,7
178,9,1
179,2,7
179,5,2
179,0,1
180,2,9
180,5,2
180,0,1
180,9,1
181,2,12
181,5,2
181,0,1
181,7,1
182,2,11
182,5,4
183,2,12
183,5,1
184,5,3
184,2,11
185,2,6
185,5,2
186,2,8
186,5,2
186,9,1
187,5,2
187,2,9
188,2,7
188,5,2
188,9,1
189,2,7
189,5,2
189,7,1
189,9,1
190,2,9
190,5,3
191,2,4
191,5,4
191,9,2
192,2,8
192,5,3
192,9,2
193,2,9
193,5,2
193,7,1
193,9,1
194,2,8
194,9,2
194,5,2
195,2,9
195,5,1
195,7,1
195,9,1
196,2,7
196,5,1
196,9,1
197,2,7
197,5,2
197,9,1
198,2,8
199,2,5
199,0,1
199,9,1
199,5,1
200,2,9
200,0,1
200,9,1
200,5,1
200,7,1
201,2,8
201,9,1
201,5,1
202,2,7
202,0,1
202,9,1
202,5,1
203,2,8
203,5,1
203,0,1
203,9,1
203,7,1
204,2,9
204,9,1
204,7,1
204,0,1
204,5,2
205,2,10
205,9,1
205,7,2
205,0,1
206,5,2
206,2,12
206,7,1
206,9,1
207,2,6
207,7,1
207,5,1
207,9,1
208,2,9
208,5,1
208,7,3
208,9,1
209,2,9
209,7,2
209,5,2
209,9,1
210,5,3
210,2,8
210,7,1
210,9,1
211,2,12
211,5,2
211,7,1
211,9,1
212,2,11
212,5,2
212,7,1
212,9,1
213,2,9
213,5,1
213,7,1
213,9,2
214,2,8
214,7,2
214,9,1
214,5,1
215,2,10
215,7,2
215,9,1
216,2,6
216,7,2
216,5,1
216,9,1
217,2,8
217,7,2
217,9,1
217,5,2
218,2,9
218,5,3
218,9,1
218,7,1
219,2,7
219,5,2
219,9,1
219,7,1
220,2,6
220,9,1
220,7,2
220,5,1
221,2,8
221,5,2
221,7,1
221,9,1
