1,0.22
2,0.42
3,0.63
4,0.84
5,1.03
6,1.23
7,1.44
8,1.64
9,1.82
10,2.02
11,2.22
12,2.42
13,2.57
14,2.77
15,2.97
16,3.16
17,3.30
18,3.50
19,3.69
20,3.88
21,4.00
22,4.19
23,4.38
24,4.57
25,4.68
26,4.86
27,5.05
28,5.23
29,5.33
30,5.51
31,5.69
32,5.87
33,5.96
34,6.14
35,6.32
36,6.50
37,6.58
38,6.75
39,6.93
40,7.10
41,7.17
42,7.35
43,7.52
44,7.69
45,7.75
46,7.92
47,8.09
48,8.26
49,8.32
50,8.48
51,8.65
52,8.81
53,8.87
54,9.03
55,9.19
56,9.35
57,9.40
58,9.56
59,9.72
60,9.88
61,9.91
62,10.07
63,10.23
64,10.39
65,10.40
66,10.55
67,10.71
68,10.86
69,10.87
70,11.02
71,11.17
72,11.33
73,11.34
74,11.49
75,11.64
76,11.79
77,11.79
78,11.93
79,12.08
80,12.23
81,12.22
82,12.37
83,12.51
84,12.66
85,12.66
86,12.80
87,12.95
88,13.09
89,13.09
90,13.23
91,13.37
92,13.51
93,13.50
94,13.64
95,13.78
96,13.92
97,13.91
98,14.05
99,14.18
100,14.32
101,14.30
102,14.44
103,14.57
104,14.71
105,14.69
106,14.82
107,14.96
108,15.09
109,15.06
110,15.19
111,15.32
112,15.45
113,15.40
114,15.53
115,15.67
116,15.80
117,15.76
118,15.89
119,16.02
120,16.15
121,16.12
122,16.24
123,16.37
124,16.50
125,16.46
126,16.58
127,16.71
128,16.84
129,16.78
130,16.90
131,17.03
132,17.15
133,17.11
134,17.23
135,17.35
136,17.47
137,17.43
138,17.55
139,17.67
140,17.79
141,17.74
142,17.86
143,17.98
144,18.10
145,18.05
146,18.17
147,18.29
148,18.41
149,18.35
150,18.47
151,18.58
152,18.70
153,18.63
154,18.75
155,18.86
156,18.98
157,18.87
158,18.99
159,19.10
160,19.21
161,19.15
162,19.27
163,19.38
164,19.49
165,19.43
166,19.54
167,19.66
168,19.77
169,19.69
170,19.80
171,19.92
172,20.03
173,19.95
174,20.06
175,20.17
176,20.28
177,20.20
178,20.31
179,20.42
180,20.53
181,20.46
182,20.57
183,20.68
184,20.78
185,20.71
186,20.82
187,20.92
188,21.03
189,20.95
190,21.06
191,21.16
192,21.27
193,21.20
194,21.30
195,21.40
196,21.51
197,21.43
198,21.53
199,21.63
200,21.73
201,21.63
202,21.74
203,21.84
204,21.94
205,21.86
206,21.96
207,22.06
208,22.16
209,22.08
210,22.18
211,22.28
212,22.38
213,22.30
214,22.39
215,22.49
216,22.59
217,22.50
218,22.60
219,22.70
